序号,代码,名称
"2284","T150801337","橘叶"
"2285","T150801414","川楝粉"
"2286","T150801492","土木香粉"
"2287","T150802367","牛心干"
"2288","T150802399","木香粉"
"2289","T150804743","刀豆粉"
"2290","T150804762","牛心粉"
"2291","T150804774","银露梅炭"
"2292","T150804782","山沉香粉"
"2293","T150804785","柿子"
"2294","T150900982","雕粪"
"2295","T150900997","蒙古莸"
"2296","T150901109","白巨胜"
"2297","T150901158","紫硇砂"
"2298","T150901445","山柰粉"
"2299","T150901597","照山白"
"2300","T150901693","黑冰片"
"2301","T150901716","碱面"
"2302","T150901723","波棱瓜子"
"2303","T150901733","光明盐"
"2304","T150902061","南天仙子"
"2305","T150902309","黑冰片粉"
"2306","T150902320","面碱"
"2307","T150902321","雕炭"
"2308","T150902351","缩砂仁"
"2309","T150902352","煅万年灰"
"2310","T150902371","照山白粉"
"2311","T150902372","照山白炭"
"2312","T150902376","热制方解石"
"2313","T150902392","炒光明盐"
"2314","T150902409","寒制方解石"
"2315","T150902425","卤盐"
"2316","T150902441","热制红石膏粉"
"2317","T150902442","寒制红石膏粉"
"2318","T150904723","蒙荨麻粉"
"2319","T150904752","蒙荨麻"
"2320","T150904755","黑巨胜"
"2321","T150904787","人工香盐"
"2322","T150904796","沙芥"
"2323","T150904797","草阿魏"
"2324","T150904798","草阿魏粉"
"2325","T150904800","炒波棱瓜子粉"
"2326","T150904801","炒波棱瓜子"
"2327","T150904802","水菖蒲粉"
"2328","T150905177","蒙飞廉"
"2329","T151001036","绵马贯众粉"
"2330","T151001042","紫铆"
"2331","T151001342","槟榔粉"
"2332","T151001509","制蜗牛"
"2333","T151002346","荚果蕨贯众"
"2334","T151002564","紫藤子"
"2335","T151004751","酸藤果"
"2336","T151004772","马蔺子粉"
"2337","T151004834","紫(釒丱)子"
"2338","T151004835","紫(釒丱)子粉"
"2339","T151101024","蓍草粉"
"2340","T151101027","草莓"
"2341","T151101101","白茅根粉"
"2342","T151101111","白及粉"
"2343","T151101148","炒白蒿"
"2344","T151101227","荠菜"
"2345","T151101415","岩青兰"
"2346","T151101418","山茶花"
"2347","T151101425","象皮"
"2348","T151101431","熊胆"
"2349","T151101451","小白蒿粉"
"2350","T151101452","小白蒿"
"2351","T151101497","卷柏粉"
"2352","T151101545","侧柏叶粉"
"2353","T151101715","紫檀香"
"2354","T151102082","三七"
"2355","T151102319","香墨"
"2356","T151102331","野艾"
"2357","T151102359","白贝齿"
"2358","T151103664","橡子"
"2359","T151103845","多叶棘豆"
"2360","T151104721","蒙酸模粉"
"2361","T151104724","豌豆花粉"
"2362","T151104730","紫草粉"
"2363","T151104736","通经草粉"
"2364","T151104740","香墨粉"
"2365","T151104747","耧斗菜"
"2366","T151104758","豌豆花"
"2367","T151104826","芯芭"
"2368","T151104832","多叶棘豆粉"
"2369","T151105201","蒙紫草粉"
"2370","T151200973","黑云香粉"
"2371","T151200981","香茶菜"
"2372","T151201006","苏木粉"
"2373","T151201038","红花粉"
"2374","T151201097","益母草粉"
"2375","T151201162","硼砂"
"2376","T151201236","苦石莲"
"2377","T151201293","枫香脂"
"2378","T151201461","奶马钱子"
"2379","T151201482","夜明砂"
"2380","T151201521","制斑蝥"
"2381","T151201574","通经草"
"2382","T151202311","黑三棱"
"2383","T151202406","巴盟五灵脂(巴灵脂)"
"2384","T151202428","制硼砂"
"2385","T151203253","赤瓟子"
"2386","T151204789","白益母草"
"2387","T151204828","赤瓟子粉"
"2388","T151205180","细叶益母草子"
"2389","T151205189","细叶益母草"
"2390","T151300980","鹅管石"
"2391","T151300985","银莲花"
"2392","T151300996","蒜炭"
"2393","T151301000","葶苈粉"
"2394","T151301046","糖芥"
"2395","T151301166","泡囊草膏"
"2396","T151301167","泡囊草"
"2397","T151301282","白硇砂"
"2398","T151301331","水菖蒲"
"2399","T151301380","枇杷叶粉"
"2400","T151301392","旋覆花粉"
"2401","T151301463","奶泡囊草粉"
"2402","T151301464","奶泡囊草"
"2403","T151301634","银耳"
"2404","T151301696","石灰华"
"2405","T151302308","龙涎香"
"2406","T151302318","香排草"
"2407","T151302324","铜灰"
"2408","T151302341","角蒿"
"2409","T151302355","石膏粉"
"2410","T151302397","栓皮马勃"
"2411","T151302423","天竺黄粉"
"2412","T151302438","信石"
"2413","T151303529","肉果草"
"2414","T151303547","沙棘膏"
"2415","T151304746","糙苏"
"2416","T151304771","大蒜干"
"2417","T151304814","白萝卜"
"2418","T151304827","火绒草"
"2419","T151305173","蒙角蒿粉"
"2420","T151305196","醋浸甘草粉"
"2421","T151305197","醋浸甘草"
"2422","T151400968","龙骨粉"
"2423","T151400969","龙骨灰"
"2424","T151401034","缬草粉"
"2425","T151401035","缬草"
"2426","T151401406","广枣粉"
"2427","T151401450","小花棘豆"
"2428","T151402436","兔心"
"2429","T151404765","野兔心"
"2430","T151407261","野牛心"
"2431","T151501144","炒羚角"
"2432","T151501462","奶石决明"
"2433","T151501507","制铁落"
"2434","T151501514","制石决明"
"2435","T151501515","制珍珠母"
"2436","T151504781","烘白花蛇"
"2437","T151601340","樟脑(天然)"
"2438","T151601341","樟脑粉(天然)"
"2439","T151601524","制天然冰片"
"2440","T151601526","制冰片"
"2441","T151602370","煨乌蛇"
"2442","T151700970","黑芝麻粉"
"2443","T151701025","蒙古口蘑"
"2444","T151701051","石花"
"2445","T151701054","石斛粉"
"2446","T151701106","白芝麻粉"
"2447","T151701107","白芝麻"
"2448","T151701122","燎鹿茸"
"2449","T151701125","煨沙蜥"
"2450","T151701134","烤蛤蚧"
"2451","T151701145","炒石花粉"
"2452","T151701146","炒石花"
"2453","T151701157","海南蒲桃"
"2454","T151701328","沙棘粉"
"2455","T151701365","芒果核"
"2456","T151701383","杜仲粉"
"2457","T151701395","手参"
"2458","T151701423","驴肾"
"2459","T151701465","奶手参"
"2460","T151701466","奶手参粉"
"2461","T151701504","北沙参粉"
"2462","T151701510","制蛤蚧"
"2463","T151701728","大托叶云实"
"2464","T151702358","盐生肉丛蓉"
"2465","T151702384","炒粳米"
"2466","T151702417","奶玉竹"
"2467","T151702418","奶玉竹粉"
"2468","T151702420","奶油麻雀"
"2469","T151704717","燎鹿茸粉"
"2470","T151704731","紫茉莉粉"
"2471","T151704732","猪血粉"
"2472","T151704734","黄精粉"
"2473","T151704760","紫茉莉"
"2474","T151704778","冬虫夏草粉"
"2475","T151704783","芒果核粉"
"2476","T151704799","炒蛋壳"
"2477","T151704805","炒菱角"
"2478","T151704806","炒菱角粉"
"2479","T151704812","牦牛心"
"2480","T151704825","制阳起石"
"2481","T151705175","蒲桃粉"
"2482","T151705186","制牛鞭"
"2483","T151705204","手参粉"
"2484","T151801008","肉豆蔻粉"
"2485","T151801099","益智粉"
"2486","T151801100","益智"
"2487","T151801120","狗尾草"
"2488","T151801206","没食子"
"2489","T151801284","白石脂"
"2490","T151801522","制巴豆"
"2491","T151801652","葫芦子"
"2492","T151802336","车前子粉"
"2493","T151802350","苦果"
"2494","T151802686","煅白石脂"
"2495","T151803664","橡子"
"2496","T151804722","蜀葵紫花粉"
"2497","T151804750","蜀葵紫花"
"2498","T151804775","淬赤石脂"
"2499","T151805210","煨诃子粉"
"2500","T151901072","藜芦"
"2501","T151901338","橐吾"
"2502","T151902380","炒藜芦粉"
"2503","T151902381","炒藜芦"
"2504","T151904792","烘胆矾"
"2505","T151905170","粤丝瓜子"
"2506","T151905179","粤丝瓜子粉"
"2507","T152001002","药浸硫黄"
"2508","T152001023","蛇床子粉"
"2509","T152001156","海州香薷"
"2510","T152001168","油制硫黄"
"2511","T152001476","大风子"
"2512","T152001479","大蒜"
"2513","T152002316","炒马蔺子"
"2514","T152002344","蛇蜕炭"
"2515","T152002349","苦檀子"
"2516","T152002379","炒蛇蜕"
"2517","T152002396","毛诃子粉"
"2518","T152004818","铁杆蒿"
"2519","T152100983","锡"
"2520","T152101086","红娘子"
"2521","T152101087","紫荆皮"
"2522","T152101127","煅青金石"
"2523","T152101130","热制水银"
"2524","T152101136","烘白矾"
"2525","T152101147","炒皂矾"
"2526","T152101175","铜绿"
"2527","T152101182","金莲花"
"2528","T152101300","煅龙骨"
"2529","T152101448","金牛草"
"2530","T152101456","寒制水银"
"2531","T152101824","章丹 混杜"
"2532","T152101843","银箔"
"2533","T152101844","金箔"
"2534","T152101867","醋瑞香狼毒"
"2535","T152101959","瑞香狼毒"
"2536","T152102312","制黄矾"
"2537","T152102315","鹿角炭"
"2538","T152102322","雄黄"
"2539","T152102323","银朱(雄胡)"
"2540","T152102325","铅"
"2541","T152102339","贝齿炭"
"2542","T152102340","诃子粉"
"2543","T152102357","盐飞雄黄"
"2544","T152102362","獾油"
"2545","T152102363","猪血"
"2546","T152102365","炒犀角"
"2547","T152102368","煨雌黄"
"2548","T152102369","煨诃子"
"2549","T152102373","煅贝齿"
"2550","T152102375","煅松石"
"2551","T152102378","炒鹿角"
"2552","T152102389","炒水牛角"
"2553","T152102391","炒广角"
"2554","T152102394","油炒珍珠"
"2555","T152102398","松石粉"
"2556","T152102413","奶瑞香狼毒"
"2557","T152102414","奶珍珠粉"
"2558","T152102415","奶珍珠"
"2559","T152102426","升药"
"2560","T152104742","炒轻粉"
"2561","T152104777","黄矾"
"2562","T152104779","黄丹"
"2563","T152104784","海螺灰"
"2564","T152104795","孔雀翎炭"
"2565","T152104807","炒牛角"
"2566","T152104809","金莲花粉"
"2567","T152105193","煅龙骨粉"
"2568","T159901017","青蒿粉"
"2569","T159903844","蒙酸模"
"2570","T159904738","奶狼毒粉"
"2571","T210101088","紫苏"
"2572","T210200975","黄花败酱"
"2573","T210201056","马槟榔"
"2574","T210201060","醋椿皮"
"2575","T210201062","酒黄柏"
"2576","T210201073","萱草根"
"2577","T210201076","菊败酱"
"2578","T210201084","老头草"
"2579","T210201091","石苇"
"2580","T210201104","白花蛇舌草"
"2581","T210201114","生地黄炭"
"2582","T210201155","海金砂"
"2583","T210201160","炒硼砂"
"2584","T210201162","硼砂"
"2585","T210201297","犀角"
"2586","T210201344","椿皮炭"
"2587","T210201381","松萝"
"2588","T210201403","广角"
"2589","T210201447","山慈菇"
"2590","T210201453","小檗根"
"2591","T210201530","凤眼草"
"2592","T210201550","五谷虫"
"2593","T210301061","醋大戟"
"2594","T210301138","炒郁李仁"
"2595","T210301152","炒大李仁"
"2596","T210401065","透骨草"
"2597","T210401092","石楠藤"
"2598","T210401149","炒狗脊"
"2599","T210401347","桦树皮"
"2600","T210401424","豹骨"
"2601","T210401426","虎骨"
"2602","T210401437","炙豹骨"
"2603","T210401438","炙虎骨"
"2604","T210401476","大风子"
"2605","T210501057","零陵香"
"2606","T210501078","荷花"
"2607","T210501094","盐砂仁"
"2608","T210501117","玳玳花"
"2609","T210601074","萆薢"
"2610","T210601139","炒薏苡仁"
"2611","T210601321","炒冬瓜子"
"2612","T210601538","关木通"
"2613","T210603260","紫杉"
"2614","T210701096","盐吴茱萸"
"2615","T210701124","煨肉豆蔻"
"2616","T210800976","麸炒青皮"
"2617","T210801093","盐荔枝核"
"2618","T210801095","盐炒川楝子"
"2619","T210901133","烫炙鸡内金"
"2620","T210901158","紫硇砂"
"2621","T210901282","白硇砂"
"2622","T210901343","槟榔炭"
"2623","T210901443","山楂片"
"2624","T210901541","焦六曲"
"2625","T210901549","仙人头"
"2626","T211000978","鹤草芽"
"2627","T211001066","贯众"
"2628","T211001082","芜荑"
"2629","T211001150","炒榧子仁"
"2630","T211001329","水银"
"2631","T211001457","密陀僧"
"2632","T211001499","南瓜子"
"2633","T211101044","紫草茸"
"2634","T211101058","铁苋菜"
"2635","T211101059","醋艾叶"
"2636","T211101080","茄根"
"2637","T211101085","红旱莲"
"2638","T211101102","白茅根炭"
"2639","T211101345","棕板炭"
"2640","T211101354","栀子炭"
"2641","T211101425","象皮"
"2642","T211101552","云母石"
"2643","T211101654","莲房"
"2644","T211201077","菊三七"
"2645","T211201081","芸苔子"
"2646","T211201137","炒骨碎补"
"2647","T211201440","山羊血"
"2648","T211201556","丹参粉"
"2649","T211301161","海浮石"
"2650","T211301390","暴马子皮"
"2651","T211301516","制猪牙皂"
"2652","T211401071","藤合欢"
"2653","T211401079","茯神木"
"2654","T211401154","灵芝粉"
"2655","T211501086","红娘子"
"2656","T211501112","白僵蛹"
"2657","T211501128","煅紫贝齿"
"2658","T211501132","烫地龙"
"2659","T211501431","熊胆"
"2660","T211501485","地龙肉"
"2661","T211502726","天麻粉"
"2662","T211601331","水菖蒲"
"2663","T211700980","鹅管石"
"2664","T211701051","石花"
"2665","T211701064","酒仙茅"
"2666","T211701067","褚实子"
"2667","T211701075","菟丝子饼"
"2668","T211701089","紫梢花"
"2669","T211701123","熟地黄炭"
"2670","T211701126","煅鹅管石"
"2671","T211701131","烫龟板"
"2672","T211701140","炒菟丝子"
"2673","T211701143","炒胡芦巴"
"2674","T211701395","手参"
"2675","T211701420","鹿肾片"
"2676","T211701421","鸡骨"
"2677","T211701423","驴肾"
"2678","T211701428","狗肾"
"2679","T211701430","牛肾"
"2680","T211701432","烫鹿肾"
"2681","T211701433","烫炙鸡骨"
"2682","T211701434","烫炙狗肾"
"2683","T211701436","烫制驴肾"
"2684","T211701439","海狗肾"
"2685","T211701505","制黄精"
"2686","T211701512","制肉苁蓉"
"2687","T211701517","制淫羊藿"
"2688","T211701528","列当"
"2689","T211701619","参须"
"2690","T211701832","鹿血晶"
"2691","T211702550","西洋参粉"
"2692","T211702829","生晒参"
"2693","T211703049","林下山参"
"2694","T211703103","鱼鳔"
"2695","T211703387","鹿角胶粉"
"2696","T211703526","鹿胶"
"2697","T211707667","园参"
"2698","T211801068","蜜金樱子"
"2699","T211801069","蜜五味子"
"2700","T211801141","炒莲子肉"
"2701","T211801142","炒芡实"
"2702","T211801159","煆禹粮石"
"2703","T211801206","没食子"
"2704","T211801435","烫炙刺猬皮"
"2705","T211901063","酒常山"
"2706","T211901072","藜芦"
"2707","T212101070","制藤黄"
"2708","T212101520","制松香"
"2709","T212102438","信石"
"2710","T220101870","蜜升麻"
"2711","T220102473","薄荷脑"
"2712","T220105428","炒桂枝"
"2713","T220105874","紫苏"
"2714","T220200931","白花蛇舌草"
"2715","T220201044","紫草茸"
"2716","T220201080","茄根"
"2717","T220201084","老头草"
"2718","T220201090","石蟹"
"2719","T220201223","葎草"
"2720","T220201236","苦石莲"
"2721","T220201262","红旱莲"
"2722","T220201297","犀角"
"2723","T220201321","炒冬瓜子"
"2724","T220201387","川槿皮"
"2725","T220201403","广角"
"2726","T220201482","夜明砂"
"2727","T220201565","马蔺子"
"2728","T220201566","马尾连"
"2729","T220201686","木槿花"
"2730","T220201687","望月砂"
"2731","T220201689","干蟾"
"2732","T220201992","炒赤芍"
"2733","T220202543","酒知母"
"2734","T220202664","炒槐角"
"2735","T220202921","洪连"
"2736","T220203146","酒龙胆"
"2737","T220205408","酒玄参"
"2738","T220205414","长裂苣荬菜炭"
"2739","T220205419","榛子花"
"2740","T220205424","朝鲜白头翁(兆森白杜奥)"
"2741","T220205432","抱茎苦荬菜"
"2742","T220205436","返魂草"
"2743","T220206868","小檗根"
"2744","T220206870","十大功劳叶"
"2745","T220206877","田螺"
"2746","T220206880","地丁"
"2747","T220206890","净蜗牛"
"2748","T220206891","煅蜗牛"
"2749","T220401057","零陵香"
"2750","T220401424","豹骨段"
"2751","T220401426","净虎骨"
"2752","T220402909","虎骨胶"
"2753","T220404211","制虎骨"
"2754","T220405008","醋两头尖"
"2755","T220405405","延边独活(延边刀哗儿)"
"2756","T220405411","东五加皮"
"2757","T220405433","甘草银花制草乌"
"2758","T220406869","石楠藤"
"2759","T220406874","一叶萩"
"2760","T220406883","透骨草"
"2761","T220406885","砂烫豹骨"
"2762","T220406886","油炸豹骨"
"2763","T220502996","米泔水制苍术"
"2764","T220505007","藿香叶"
"2765","T220601644","蟋蟀"
"2766","T220601991","炒车前子"
"2767","T220603190","广防己"
"2768","T220603239","黄瓜皮"
"2769","T220606873","冬葵子"
"2770","T220606879","金佛草"
"2771","T220606881","萱草"
"2772","T220701096","盐吴茱萸"
"2773","T220701252","肉桂子"
"2774","T220701656","艾绒"
"2775","T220701657","艾叶炭"
"2776","T220703019","炒艾叶"
"2777","T220704143","炒薤白"
"2778","T220705417","酒小茴香"
"2779","T220706872","官桂"
"2780","T220801081","芸苔子"
"2781","T220801117","玳玳花"
"2782","T220801337","橘叶"
"2783","T220801488","仙人头"
"2784","T220802601","砂烫枳实"
"2785","T220803140","青木香"
"2786","T220804143","炒薤白"
"2787","T220902042","山楂炭"
"2788","T220906875","啤酒花"
"2789","T221101078","莲花"
"2790","T221101552","云母石"
"2791","T221101628","黄芩炭"
"2792","T221101669","炒蒲黄"
"2793","T221101683","槐角炭"
"2794","T221103222","血见愁"
"2795","T221103588","益母草炭"
"2796","T221106887","象皮片"
"2797","T221106888","烫象皮"
"2798","T221201070","藤黄"
"2799","T221201086","净红娘子"
"2800","T221201158","净紫硇砂"
"2801","T221201293","白胶香"
"2802","T221201530","凤眼草"
"2803","T221201531","凤仙花"
"2804","T221201556","丹参粉"
"2805","T221201658","制红娘子"
"2806","T221201672","炒水红花子"
"2807","T221201678","炒乳香"
"2808","T221201993","炒没药"
"2809","T221202459","酒益母草"
"2810","T221202847","炒蛴螬"
"2811","T221203253","赤瓟"
"2812","T221203272","炒黄瓜子"
"2813","T221205413","炒片姜黄"
"2814","T221205415","炒土鳖虫"
"2815","T221205416","酒土鳖虫"
"2816","T221205435","桑黄(桑皇波色)"
"2817","T221206876","金牛草"
"2818","T221206882","紫荆皮"
"2819","T221206884","东川芎"
"2820","T221301282","硇砂"
"2821","T221301923","苦杏仁霜"
"2822","T221302512","蜜瓜蒌子"
"2823","T221302522","半夏曲"
"2824","T221302693","伊贝母"
"2825","T221305425","野玫瑰根"
"2826","T221306892","净海螺"
"2827","T221306893","煅海螺"
"2828","T221401071","藤合欢"
"2829","T221401306","白石英"
"2830","T221401851","蜜远志"
"2831","T221501431","熊胆"
"2832","T221501675","炒地龙"
"2833","T221501947","盐蒺藜"
"2834","T221505420","蒺藜草"
"2835","T221601331","水菖蒲"
"2836","T221601340","樟脑"
"2837","T221605421","炒皂角子"
"2838","T221701140","炒菟丝子"
"2839","T221701434","狗肾"
"2840","T221701439","海狗肾段"
"2841","T221701579","蛹虫草"
"2842","T221701594","巨胜子"
"2843","T221701619","人参须"
"2844","T221701634","银耳"
"2845","T221701662","焦白术"
"2846","T221701915","萝藦"
"2847","T221702540","酒锁阳"
"2848","T221702550","西洋参粉"
"2849","T221702591","红参粉"
"2850","T221702648","炒黑豆"
"2851","T221702685","水獭肝"
"2852","T221702748","鹿鞭"
"2853","T221702766","人参粉"
"2854","T221702836","烫驴肾"
"2855","T221703049","生晒参(林下山参)"
"2856","T221703196","土炒白术"
"2857","T221705010","西洋参节"
"2858","T221705011","西洋参枝"
"2859","T221705012","西洋参须"
"2860","T221705402","红参芦头"
"2861","T221705403","红参枝"
"2862","T221705404","红参节"
"2863","T221705406","酒列当"
"2864","T221705407","姜西洋参"
"2865","T221705409","麸炒白芍"
"2866","T221705410","清麸炒白术"
"2867","T221705412","甘草炭"
"2868","T221705418","人参芦头"
"2869","T221705422","驴肾段"
"2870","T221705423","黑芝麻炒补骨脂"
"2871","T221705426","高山红景天"
"2872","T221705427","黄蘑"
"2873","T221705429","狗骨炭"
"2874","T221705430","酒葫芦巴"
"2875","T221705431","炒韭菜子"
"2876","T221705434","盐楮实子"
"2877","T221705437","黑豆黄酒制首乌"
"2878","T221706871","鹅管石"
"2879","T221706878","鹿胎"
"2880","T221706889","烫海狗肾"
"2881","T221801142","炒芡实"
"2882","T221801206","没食子"
"2883","T221801666","炒诃子肉"
"2884","T221802608","盐金樱子肉"
"2885","T221802686","白石脂"
"2886","T221901072","藜芦"
"2887","T221902789","相思子"
"2888","T222001173","雌黄"
"2889","T222001176","铅粉"
"2890","T222001329","制水银"
"2891","T222002323","银朱"
"2892","T222101175","铜绿"
"2893","T222101476","大风子仁"
"2894","T222101691","大风子霜"
"2895","T222101824","樟丹"
"2896","T222101979","煅硼砂"
"2897","T222102438","信石"
"2898","T222103229","白降丹"
"2899","T229901676","神曲"
"2900","T229903153","蛤蟆油"
"2901","T230101339","樱桃核"
"2902","T230101663","焦建曲"
"2903","T230103263","黄豆豉"
"2904","T230103274","洋甘菊"
"2905","T230200931","白花蛇舌草饮片"
"2906","T230201044","紫草茸"
"2907","T230201056","马槟榔"
"2908","T230201182","金莲花"
"2909","T230201236","苦石莲子"
"2910","T230201259","绿豆"
"2911","T230201326","海粉"
"2912","T230201385","芙蓉花"
"2913","T230201387","川槿皮"
"2914","T230201453","小檗根"
"2915","T230201482","夜明砂"
"2916","T230201483","墓头回饮片"
"2917","T230201494","秋石"
"2918","T230201530","凤眼草饮片"
"2919","T230201544","罗勒子(光明子)饮片"
"2920","T230201565","马蔺子"
"2921","T230201587","苦丁茶"
"2922","T230201685","柿霜"
"2923","T230201686","木槿花"
"2924","T230201710","方海(河蟹)"
"2925","T230201898","酒关黄柏"
"2926","T230201957","甜叶菊"
"2927","T230202353","红药子"
"2928","T230202472","蛋黄油"
"2929","T230202531","马蔺花"
"2930","T230202789","相思子"
"2931","T230202920","苣荬菜"
"2932","T230203237","龙牙楤木叶"
"2933","T230203239","黄瓜皮"
"2934","T230203247","马尾莲"
"2935","T230203249","金银忍冬叶"
"2936","T230203252","越橘"
"2937","T230203254","象牙屑"
"2938","T230203259","光慈菇"
"2939","T230203268","羖羊角"
"2940","T230203275","柞蚕蛹"
"2941","T230203309","山银柴胡"
"2942","T230203316","北白头翁"
"2943","T230206205","葵花盘饮片"
"2944","T230301061","醋红大戟"
"2945","T230302393","硝石"
"2946","T230303276","冰凉花(福寿草)"
"2947","T230401065","透骨草"
"2948","T230401278","茄根"
"2949","T230401476","大风子饮片"
"2950","T230401632","香椿子(王牟牛)饮片"
"2951","T230401650","蚕砂"
"2952","T230401873","蚂蚁"
"2953","T230401971","牛骨"
"2954","T230402034","接骨木"
"2955","T230403236","龙牙楤木"
"2956","T230403258","关苍术"
"2957","T230403267","胡麻子"
"2958","T230403272","炒黄瓜子"
"2959","T230403317","北独活"
"2960","T230501057","零陵香"
"2961","T230601590","腹水草"
"2962","T230601837","鱼脑石"
"2963","T230603260","紫杉（东北红豆杉）"
"2964","T230603266","蛤蟆草"
"2965","T230607053","商陆果"
"2966","T230701252","肉桂子"
"2967","T230702019","官桂"
"2968","T230801081","芸苔子"
"2969","T230801337","橘叶"
"2970","T230801585","茉莉花"
"2971","T230802308","龙涎香"
"2972","T230802657","炒荔枝核"
"2973","T230803253","赤瓟"
"2974","T230803319","刺玫果饮片"
"2975","T230901153","炒五谷虫"
"2976","T230901379","枣槟榔"
"2977","T230901625","红曲"
"2978","T230901676","炒神曲"
"2979","T230903264","鸡蛋壳"
"2980","T230903310","山里红叶"
"2981","T231001082","芜荑"
"2982","T231003321","东北鹤虱"
"2983","T231101073","萱草根"
"2984","T231101078","莲花"
"2985","T231101085","红旱莲(旱莲草)"
"2986","T231101418","山茶花饮片"
"2987","T231101654","莲房"
"2988","T231103241","鳖首"
"2989","T231201087","紫荆皮"
"2990","T231201293","枫香脂"
"2991","T231201448","金牛草"
"2992","T231201531","凤仙花饮片"
"2993","T231201556","丹参粉"
"2994","T231201613","山羊血饮片"
"2995","T231201658","制红娘子"
"2996","T231201672","炒水红花子"
"2997","T231201678","炒乳香"
"2998","T231201894","醋五灵脂"
"2999","T231202311","荆三棱"
"3000","T231202595","炒青娘子"
"3001","T231203238","黑加仑子"
"3002","T231203270","紫草子"
"3003","T231203271","珍珠梅"
"3004","T231203318","北延胡索"
"3005","T231301161","海浮石"
"3006","T231301248","胡桐泪(梧桐泪)"
"3007","T231301250","肥皂子"
"3008","T231301390","暴马子皮"
"3009","T231302069","制关白附"
"3010","T231302445","炒半夏曲"
"3011","T231302525","姜水半夏"
"3012","T231302684","甜杏仁"
"3013","T231303240","鸡胆"
"3014","T231303251","轮叶贝母"
"3015","T231303273","海带"
"3016","T231401071","南蛇藤果(南蛇藤子)饮片"
"3017","T231401200","小草"
"3018","T231401211","蛇含石"
"3019","T231401552","云母石"
"3020","T231401655","茯神"
"3021","T231401851","蜜远志"
"3022","T231401864","煅白石英"
"3023","T231501177","铁落"
"3024","T231501562","黑豆衣"
"3025","T231501947","盐蒺藜"
"3026","T231502065","枸骨叶(功劳叶)"
"3027","T231601251","肉果花(玉果花)"
"3028","T231601331","水菖蒲"
"3029","T231601846","酒蟾酥"
"3030","T231701089","紫梢花"
"3031","T231701395","手掌参"
"3032","T231701422","鱼鳔"
"3033","T231701430","牛鞭"
"3034","T231701434","制狗肾"
"3035","T231701439","海狗肾"
"3036","T231701630","鹿尾"
"3037","T231701997","灵芝孢子粉"
"3038","T231702004","海燕"
"3039","T231702037","雄蚕蛾"
"3040","T231702362","獾子油(獾油)"
"3041","T231703112","棉花子"
"3042","T231703232","树舌"
"3043","T231703242","驼鹿鞭"
"3044","T231703243","驼鹿角"
"3045","T231703244","驼鹿筋"
"3046","T231703245","驴鞭"
"3047","T231703246","驯鹿角"
"3048","T231703250","酒鹿尾"
"3049","T231703257","制鳖甲"
"3050","T231703269","羊肝"
"3051","T231703305","制驴肾"
"3052","T231703308","巨胜子"
"3053","T231703315","北百合"
"3054","T231703320","刺五加叶饮片"
"3055","T231801068","蜜金樱子"
"3056","T231801141","炒莲子"
"3057","T231801206","没食子"
"3058","T231801287","桃奴"
"3059","T231801666","炒诃子"
"3060","T231802681","盐益智"
"3061","T231803265","醋白石脂"
"3062","T231901072","藜芦"
"3063","T232001176","铅粉"
"3064","T232001329","制水银"
"3065","T232003314","北青龙衣饮片"
"3066","T232101158","紫硇砂"
"3067","T232101282","硇砂"
"3068","T232101651","藤黄"
"3069","T232101824","章丹"
"3070","T232101979","煅硼砂"
"3071","T232102438","信石"
"3072","T232102754","制干蟾"
"3073","T232103229","白降丹"
"3074","T239901495","吕宋果饮片"
"3075","T239903255","猪骨"
"3076","T310101180","金蝉花"
"3077","T310101195","软柴胡"
"3078","T310101242","芫荽草"
"3079","T310101312","炒软柴胡"
"3080","T310101323","灰藋草"
"3081","T310101339","樱桃核"
"3082","T310101382","杜衡"
"3083","T310101489","土藁本"
"3084","T310101513","制穞豆衣"
"3085","T310101568","排草"
"3086","T310101647","蜜炙桑叶"
"3087","T310101870","蜜炙升麻"
"3088","T310102658","炒荆芥"
"3089","T310102931","黄菊花"
"3090","T310102935","鸭脚草"
"3091","T310102947","防风炭"
"3092","T310102961","蜜麸炒葛根"
"3093","T310102963","蜜麸炒粉葛"
"3094","T310102972","蜜炙细辛"
"3095","T310102975","蜜炙桂枝"
"3096","T310103004","白菊花"
"3097","T310103013","炒黄菊花"
"3098","T310103016","炒防风"
"3099","T310103021","炒白菊花"
"3100","T310103031","炒桑叶"
"3101","T310103032","炒柴胡"
"3102","T310103057","干姜皮"
"3103","T310103066","大豆卷"
"3104","T310103075","剪刀草"
"3105","T310103567","碧玉散"
"3106","T310103568","鸡苏散"
"3107","T310106093","六一散(沪)"
"3108","T310106482","香豆豉"
"3109","T310106899","蜜炙麻黄"
"3110","T310200192","地耳草"
"3111","T310200333","干荷梗"
"3112","T310200433","金银花炭"
"3113","T310200487","生了哥王"
"3114","T310200860","制萸黄连"
"3115","T310200930","石上柏"
"3116","T310200931","白花蛇舌草"
"3117","T310200945","地黄炭"
"3118","T310200962","海金沙藤"
"3119","T310201044","紫草茸"
"3120","T310201058","铁苋菜"
"3121","T310201090","石蟹"
"3122","T310201160","炒硼砂"
"3123","T310201182","金莲花"
"3124","T310201183","金枪草"
"3125","T310201187","野料豆"
"3126","T310201193","连翘心"
"3127","T310201196","贯众"
"3128","T310201197","贯众炭"
"3129","T310201202","蜜炙石膏"
